Name,Designation,Domain,Region ,University or Company,Experience ,linkdin profiles 
Dr.Radhika Trikha,Chief Executive Officer(CEO),Agriculture & AgriTech,"Ropal, India ",IIT Ropal,,https://www.linkedin.com/in/radhika-trikha-671359102/
Prof. Ajay Sharda,Professor and Director,Agriculture & AgriTech,"Kansas , United States",Kansas State University,,https://www.linkedin.com/in/ajsharda/
Shalini singh,COO at Agiri-Food Business Incubation Center,Agriculture & AgriTech,"West Bengal, India",IIT Kharagpur,,Not Verified
Dr. Sonal Sharma,Professor & Dean-Uttaranchal School Of Computer Science,Usage Of AI Assistance In Research,"Uttarkhand,India",Uttaranchal University,,https://www.linkedin.com/in/profsonalsharma/
Dr.M.Loganathan,Professor,Storage Entomology,"Tamil Nadu, India",NIFTEM Thanjavur,,https://www.linkedin.com/in/dr-m-loganathan-31b9702a7/
Dr. Nisha Bharti,Ex HOD Agribusiness at SIIB,Agribusiness and Rural & Agrifinance,"Maharashtra,India",SIIB Pune,,Not Verified
V. Sivaramakrishnan,Founder & Chief Vision Officer,Millet Based Value-Added Products,"Tamil Nadu, India",University Of Madras,,https://www.linkedin.com/in/sivaramakrishnan-venkatachalam/
Govinda Rajulu Chintala,Chairman ,Agriculture and Rural Development,"Maharashtra,India",India Agricultural Research Institute,,https://www.linkedin.com/in/govinda-rajulu-chintala-4799ab1ab/
Shri Sushri Shobha Karandlaje,Minister of State of Agriculture and Farmers Welfare,Agriculture And Farmer Welfare,India,Techbharat 2022,,Not Verified
Dr.Arun Mohan Sherry,"Director,IIM Shillong",AgriTech,"Luchnow,Uttar Pradesh,India",IIT Delhi,,https://www.linkedin.com/in/dr-arun-mohan-sherry-72544376/
V.R.Sinija,HOD & Professor,Food Processing Engineering,"Tamil Nadu, India",NIFTEM Thanjavur,,https://www.linkedin.com/in/sinija-v-r-5460872b2/
K.P.Sudheer,"Head,RAFTAAR",Agriculture & AgriTech,"Melbourne,Australia",Kerala Agricultural University,,https://www.linkedin.com/in/sudheer-k-p-51995924/
Dr.Sapna Arora,Professor At NIFTEM,Food Technology Enterpreneurship & Management,"Haryana,India",NIFTEM Kundli,,https://www.linkedin.com/in/sapna-arora-b2a91a18b/
Dr. Anupama Panghal,Associate Professor,Food Technology Enterpreneurship & Management,"Haryana,India",NIFTEM Kundli,,https://www.linkedin.com/in/anupama-panghal-53ab92213/
FT Subhaprada Nishtala,Founder,Food Technologist,"Maharashtra,India",Institute Of Chemical Technology,,https://www.linkedin.com/in/subhaprada-nishtala/
Dr. Shweta Deotale,Assistant Director & Ministry of Micro,Food Technology Enterpreneurship & Management,"Maharashtra,India",NIFTEM & IIFPT,,https://www.linkedin.com/in/dr-shweta-deotale-i-e-d-s-934b9566/
Dr. Rachna Sehrawat,Associate Professor,Food Technology Enterpreneurship & Management,"Odisha,India",NIFTEM Haryana,,https://www.linkedin.com/in/rachna-sehrawat-6a830b23/
Biswajeet Acharya,Consultant-Diary,Diary and Food Engineering,"Odisha,India",Hatsun Agro Product Limited,,https://www.linkedin.com/in/bacharya07/
Jasmin Shaikh,"Founder & Food Scientist,CEO",Food & FoodTech,"Maharashtra,India","Axia Foods Pvt Ltd , MIT ADT University",,https://www.linkedin.com/in/jasmin-shaikh-652b4830/
Ravi Kant Avvari,Assistant Professor,Biotechnology and Medical Engineering,"Rourkela,India",NIT Rourkela,,https://www.linkedin.com/in/ravi-kant-avvari-7b6052aa/
Dr.Vikrant Kanwar,Physician & HealthCare Consultant,HealthCare Consultant,"Himachal Pradesh,India",AIIMS Himachal Pradesh,,https://www.linkedin.com/in/dr-vikrant-kanwar-09868a31/
Tarun Mehta,Co-Founder & CEO,Automotive & Mobility,"Karnataka, India",Ather Energy,13+ years,https://www.linkedin.com/in/tarunsmehta/
Swapnil Jain  ,Co-Founder ,Automotive & Mobility,"Bengaluru, India",Ather Energy,13+ years,https://in.linkedin.com/in/swapnil-jain-431ba14b?utm_source=chatgpt.com
Bhavish Aggarwal ,Founder & Chairman ,Automotive & Mobility,"Bengaluru, India",Ola Electric, 15+ years ,https://in.linkedin.com/in/bhavishaggarwal?utm_source=chatgpt.com
Chetan Maini ,Co-Founder & Chairman,Automotive & Mobility,"Bengaluru, Karnataka, India",SUN Mobility ,25+ years ,https://www.linkedin.com/in/mainichetan/?utm_source=chatgpt.com
Karthikeyan Muthukrishnan,Product & Technical Leader,Automotive & Mobility,"Bengaluru, Karnataka, India ",Mercedes-Benz R&D India ,16+ years ,https://in.linkedin.com/in/karthikeyan-muthukrishnan-865aa479?utm_source=chatgpt.com
Naveen Chopra,CTO & COO,Automotive & Mobility,"Bengaluru, Karnataka, India", SUN Mobility,20+ years ,https://in.linkedin.com/in/chopra-naveen?utm_source=chatgpt.com
 Pawan Goenka ,"Chairman, SCALE Committee",Automotive & Mobility,"Mumbai, Maharashtra, India ",Government of India / Former Mahindra & Mahindra,40+ years,https://in.linkedin.com/in/pawan-goenka-6640672b?utm_source=chatgpt.com
Nitin Seth,CEO – New Mobility ,Automotive & Mobility,"New Delhi, India  ",Reliance Industries ,20+ years,https://in.linkedin.com/in/nitin-seth-a299921?utm_source=chatgpt.com
Gopalakrishnan VC ,Director – Automotive & Electric Vehicles | Automotive & Mobility,Automotive & Mobility,"Telangana, India",Government of Telangana / Mahindra Group,15+ years,https://in.linkedin.com/in/gopalakrishnan-vc-21119375?utm_source=chatgpt.com
Anirudh Bhuwalka,Founder & Managing Director ,Automotive & Mobility, India,Blue Energy Motors,15+ years ,(https://www.linkedin.com/?utm_source=chatgpt.com
Pulkit Khurana,Co-Founder & CEO                             ,Electric Vehicles & EVTech,"Haryana, India",Battery Smart,10+ years,https://in.linkedin.com/in/pulkitkhurana   
Siddharth Sikka,Co-Founder,Electric Vehicles & EVTech,"Delhi, India", Battery Smart ,10+ years ,https://in.linkedin.com/in/sikkasiddharth 
Arun Vinayak, Co-Founder & CEO,Electric Vehicles & EVTech,"Bengaluru, Karnataka, India",Exponent Energy,13+ years,https://in.linkedin.com/in/arun-vinayak-71a5b973 
Sanjay Byalal Jagannath,Co-Founder,Electric Vehicles & EVTech,"Bengaluru, Karnataka, India",Exponent Energy,14+ years,https://in.linkedin.com/in/sanjay-byalal
Akshay Singhal,Founder & EV Battery Technology Entrepreneur,Electric Vehicles & EVTech,"Bengaluru, Karnataka, India",Log9 Materials / South Park Commons ,12+ years ,https://in.linkedin.com/in/akshayvsinghal 
Rashi Gupta ,Founder & Managing Director ,Electric Vehicles & EVTech,"Mumbai, Maharashtra, India", Vision Mechatronics ,15+ years,https://in.linkedin.com/in/batterywali 
Varun Goenka,Co-Founder & CEO,Electric Vehicles & EVTech,"New Delhi, India ",Charge-up  ,15+ years,https://in.linkedin.com/in/varun-goenka-a9755153 
 Abhinav Kalia,CEO & Co-Founder,Electric Vehicles & EVTech,"Delhi, India ",ARC Electric,12+ years,https://in.linkedin.com/in/abhinav-kalia-78028b12 
Narayan Subramaniam,Co-Founder & CEO,Electric Vehicles & EVTech ,"Bengaluru, Karnataka, India",Ultraviolette Automotive,15+ years ,https://in.linkedin.com/in/narayan-s
Tarun Garg ,Managing Director & CEO,Electric Vehicles & EVTech ,"New Delhi, India",Hyundai Motor India ,25+ years ,https://in.linkedin.com/in/tarun-garg-63680225 
Raghvendra Sutar, Founder,Robotics & Automation," Pune, Maharashtra, India",Kikobot Robotics ,5+ years,https://in.linkedin.com/in/raghvendrasutar   
Aditya Varma Sagi,Co-Founder ,Robotics & Automation,"Bengaluru, Karnataka, India",Strider Robotics,8+ years ,https://in.linkedin.com/in/aditya-varma-sagi
Shishir Kolathaya,Co-Founder & Technical Advisor, Robotics & Automation ,"Bengaluru, Karnataka, India ", Strider Robotics / IISc ,15+ years,https://in.linkedin.com/in/shishir-kolathaya-7b6a2bb  
Manesh Jain,Founder & CEO,Robotics & Automation," Bengaluru, Karnataka, India",Flo Mobility ,20+ years,https://in.linkedin.com/in/maneshjain
 Lentin Joseph,Founder & CEO / Roboticist ,Robotics & Automation,"Kochi, Kerala, India  ",RUNTIME Robotics ,15+ years ,https://in.linkedin.com/in/lentinjoseph
